#/media/gabriel/Data/Projects/Lumon/citizen_agenda/src/logic/linguistics.py
# GMT Mon Oct  5 18:32:58 2020
# tf_idf
convertir ecociudad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
cuidar total luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
dato actualizar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
dia internacional luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
diversidad sexual luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
economica ciudad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
educacion superior luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
encontrar procesar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
escenario deportivo luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
escribirnos compartir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
espaciar publicar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
fin semana luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
gerencia diversidad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
gestor social luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
gracia escribirnos luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
haber ser luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hablar reapertura luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hacer mas luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hacer partir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hoy hablar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hoy manana luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hoy medellinconecta luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hoy radiar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
hoy tener luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
iniciar procesar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
junto directivo luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
mas importante luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
medellinconecta radiar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
medellinmecuida compartir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
medir bioseguridad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
mejor futuro luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
miembro junto luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ninas adolescente luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ninos ninas luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
noviolencia noviolencia luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
nuevo gerencia luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
nuevo normalidad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
parque norte luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
personar discapacidad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
personar mayor luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
plan desarrollar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
politica publicar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
poner marchar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
procesar proveedor luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
procesar seleccion luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
protocolo bioseguridad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
proveedor servicio luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
proveedor suministrar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
pudrir alimento luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
querer ser luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
radiar hablar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
reactivacion economica luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
reapertura economica luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
recurso publicos luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
redar social luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ruta medellinmecuida luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
saber ser luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
secretario mujer luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
secretario salud luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
seleccion proveedor luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
semana septiembre luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ser ejemplo luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ser partir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
siguiente enlazar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
teatro aire luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
tener mas luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
terminar pudrir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
todovaaestarbien amplio luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
traves secretario luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ultimos ano luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
usar tapaboca luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
verdad casar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
vigencia futuro luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
